"Qty";"Value";"Device";"Parts";"Library";"LibraryDescription";"DESCRIPTION";"MF";"MPN";"OC_DIGIKEY";"SUPPLIER";"UNITPRICE";"URL";
"1";"AP2210K-3.3TRG1";"AP2210K-3.3TRG1";"U3";"SixthLogic";"The AP2210 is a 300mA ULDO regulator which provides very low";"IC REG LDO 3.3V 0.3A SOT23-5";"Diodes Inc";"AP2210K-3.3TRG1";"AP2210K-3.3TRG1DITR-ND";"";"$0.10797";"https://www.digikey.com/product-detail/en/diodes-incorporated/AP2210K-3.3TRG1/AP2210K-3.3TRG1DITR-ND/4470819";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"U1";"SixthLogic";"Atmel ATmega32u4 MCU, 32KByte";"IC MCU 8BIT 32KB FLASH";"Microchip Technology";"ATMEGA32U4-AU";"ATMEGA32U4-AU-ND";"";"$3.04";"https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA32U4-AU/ATMEGA32U4-AU-ND/1914602";
"3";"0.1uF";"C-EUC0603";"C4, C6, C10";"rcl";"CAPACITOR, European symbol";"CAP CER 0.1UF 50V X7R 0603";"Samsung Electro-Mechanics";"CL10B104KB8NNNC";"1276-1000-2-ND";"Digikey";"$0.00652";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B104KB8NNNC/1276-1000-2-ND/3886658";
"1";"0.47uF";"C-EUC0603";"C9";"rcl";"CAPACITOR, European symbol";"CAP CER 0.47UF 16V X7R 0603";"Murata Electronics North America";"GCM188R71C474KA55D";"490-4775-2-ND";"Digikey";"$0.03744";"https://www.digikey.com/product-detail/en/murata-electronics-north-america/GCM188R71C474KA55D/490-4775-2-ND/1641649";
"3";"1uF";"C-EUC0603";"C3, C5, C8";"rcl";"CAPACITOR, European symbol";"CAP CER 1UF 25V X5R 0603";"Samsung Electro-Mechanics";"CL10A105KA8NNNC";"1276-1102-2-ND";"Digikey";"$0.00785";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10A105KA8NNNC/1276-1102-2-ND/3886760";
"1";"2.2uF";"C-EUC0603";"C7";"rcl";"CAPACITOR, European symbol";"CAP CER 2.2UF 16V X5R 0603";"Samsung Electro-Mechanics";"CL10A225KO8NNNC";"1276-1040-2-ND";"Digikey";"$0.01863";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10A225KO8NNNC/1276-1040-2-ND/3886698";
"2";"22p";"C-EUC0603";"C1, C2";"rcl";"CAPACITOR, European symbol";"CAP CER 22PF 16V C0G/NP0 0603";"KEMET";"C0603C220K4GACTU";"399-9031-2-ND";"Digikey";"$0.01675";"https://www.digikey.com/product-detail/en/kemet/C0603C220K4GACTU/399-9031-2-ND/2200194";
"1";"10uF";"CAP_POL-CT6032";"PC1";"SixthLogic";"Capacitor with Polarity";"CAP TANT 10UF 20V 10% 2312";"KEMET";"T491C106K020AT7280";"399-10158-2-ND";"Digikey";"$0.15113";"https://www.digikey.com/product-detail/en/kemet/T491C106K020AT7280/399-10158-2-ND/3759637";
"1";"MicroUSB";"CONN_USB-4UCON-11071";"CN1";"SixthLogic";"USB Connector";"B TYPE FEMALE 05P SMT 90° WITHOUT POST 2 SHELL TABS";"4UCON";"11071";"";"";"";"http://www.4uconnector.com/online/Itemadrawing.asp?fldseries=11071&seriesno_a=1006";
"1";"16Mhz";"CRYSTAL_GROUNDED_2GND-FA-238";"Y1";"SixthLogic";"4 PIN SMD Crystal";"CRYSTAL 16.0000MHZ 18PF SMD";"EPSON";"FA-238 16.0000MB-C3";"SER3686TR-ND";"Digikey";"$0.22880";"https://www.digikey.com/product-detail/en/epson/FA-238-16.0000MB-C3/SER3686TR-ND/2403378";
"1";"ISP";"DEBUGPORT-6PIN-ISP-AVR";"ISP";"SixthLogic";"";"6 Pin ISP port";"";"";"";"";"";"";
"2";"FIDUCIAL-1X3MM";"FIDUCIAL-1X3MM";"JP1, JP2";"SixthLogic";"";"";"";"";"";"";"";"";
"1";"ICM-20689";"ICM-20689";"U2";"SixthLogic";"High Performance 6-Axis MEMS MotionTracking™ Device in 4x4 mm Package";"IMU ACCEL/GYRO/TEMP I2C/SPI QFN";"TDK InvenSense";"ICM-20689";"1428-1059-2-ND";"Digikey";"$2.62548";"https://www.digikey.com/product-detail/en/tdk-invensense/ICM-20689/1428-1059-2-ND/5872869";
"6";"GREEN";"LED-1206-LTST-BOTTOM";"LED_CLICK, LED_DOWN, LED_LEFT, LED_RIGHT, LED_SPACE, LED_UP";"SixthLogic";"";"LED GREEN CLEAR CHIP SMD";"Lite-On Inc.";"LTST-C230KGKT";"160-1456-2-ND";"Digikey";"$0.05693";"https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C230KGKT/160-1456-2-ND/386855";
"1";"RED";"LED-1206-LTST-BOTTOM";"ON";"SixthLogic";"";"LED RED CLEAR CHIP SMD";"Lite-On Inc.";"LTST-C230KRKT";"160-1457-2-ND";"Digikey";"$0.05668";"https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C230KRKT/160-1457-2-ND/386857";
"2";"YELLOW";"LED-1206-LTST-BOTTOM";"RX_LED, TX_LED";"SixthLogic";"";"LED YELLOW CLEAR CHIP SMD";"Lite-On Inc.";"LTST-C230KSKT";"160-1458-2-ND";"Digikey";"$0.05595";"https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C230KSKT/160-1458-2-ND/386859";
"1";"LM75AD";"LM75AD";"U4";"SixthLogic";"LM75";"SENSOR DIGITAL -55C-125C 8SO";"NXP USA Inc.";"LM75AD,118";"568-10295-2-ND";"Digikey";"$0.28743";"https://www.digikey.com/product-detail/en/nxp-usa-inc/LM75AD118/568-10295-2-ND/1692795";
"21";"";"MA01-1-ALLIGATOR-3.0MM";"A, CLICK, DOWN, EARTH1, EARTH2, EARTH3, EARTH4, EARTH5, F, G, LEFT, MOUSE-DOWN, MOUSE-LEFT, MOUSE-LEFT-CLICK, MOUSE-RIGHT, MOUSE-RIGHT-CLICK, MOUSE-UP, RIGHT, SPACE, UP, W";"SixthLogic";"2x Holes for Alligator Clips";"2x3mm Holes for Alligator Clips ";"";"";"";"";"";"";
"2";"BSS138";"MOSFET-N-BSS138";"TR1, TR2";"SixthLogic";"";"MOSFET N-CH 50V 220MA SOT-23";"ON Semiconductor";"BSS138";"BSS138TR-ND";"Digikey";"$0.05419";"https://www.digikey.com/product-detail/en/on-semiconductor/BSS138/BSS138TR-ND/244210";
"1";"500mA";"PPTC-1206";"F1";"SixthLogic";"";"PTC RESET FUSE 8V 500MA 1206";"Bel Fuse Inc.";"0ZCJ0050FF2G";"507-1802-6-ND";"Digikey";"$0.07588";"https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCJ0050FF2G/507-1802-6-ND/4156237";
"5";"10K";"R-EU_R0603";"R3, R28, R29, R30, R31";"rcl";"RESISTOR, European symbol";"RES 10K OHM 5% 1/10W 0603";"Stackpole Electronics Inc.";"RMCF0603JG10K0";"RMCF0603JG10K0TR-ND";"Digikey";"$0.00170";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0603JG10K0/RMCF0603JG10K0TR-ND/1712133";
"3";"1K";"R-EU_R0603";"R25, R26, R27";"rcl";"RESISTOR, European symbol";"RES SMD 1K OHM 5% 1/10W 0603";"Yageo";"RC0603JR-071KL";"311-1.0KGRTR-ND";"Digikey";"$0.00268";"https://www.digikey.com/product-detail/en/yageo/RC0603JR-071KL/311-1.0KGRTR-ND/726677";
"16";"22M";"R-EU_R0603";"R4, R5, R6, R7, R8, R9, R13, R14, R17, R18, R19, R20, R21, R22, R23, R24";"rcl";"RESISTOR, European symbol";"RES SMD 22M OHM 10% 1/10W 0603";"Panasonic Electronic Components";"ERJ-3GEYK226V";"P22MGTR-ND";"Digikey";"$0.00335";"https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3GEYK226V/P22MGTR-ND/282153";
"2";"22R";"R-EU_R0603";"R1, R2";"rcl";"RESISTOR, European symbol";"RES 22 OHM 5% 1/10W 0603";"Stackpole Electronics Inc.";"RMCF0603JT22R0";"RMCF0603JT22R0TR-ND";"Digikey";"$0.00196";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0603JT22R0/RMCF0603JT22R0TR-ND/1758012";
"3";"330R";"R-EU_R0603";"R10, R11, R12";"rcl";"RESISTOR, European symbol";"RES 330 OHM 5% 1/10W 0603";"Stackpole Electronics Inc.";"RMCF0603JT330R";"RMCF0603JT330RTR-ND";"Digikey";"$0.00196";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0603JT330R/RMCF0603JT330RTR-ND/1757998";
"1";"SOLDER_JUMPER";"SOLDER_JUMPER_NC";"SJ1";"SixthLogic";"Solder Jumper - Normally Closed";"Solder Jumper - Normally Closed";"";"";"";"";"";"";
"1";"TESTPAD";"TESTPAD-2.54MM";"TP1";"SixthLogic";"";"";"";"";"";"";"";"";
